count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,day_of_week,month,is_weekend,hour_bin,total_vehicles,total_cycles,vehicle_density_km,hgv_dominant,mean_vehicles_by_direction,lat_lon_delta
52,E,2019,2019-09-06,15,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,29,1,33,0,11,0,0,0,0,0,0,0,45,4,9,0,Afternoon,45,29,22.5,0,598.2,3.347628124432228
52,W,2019,2019-09-06,11,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,3,2,7,1,21,0,0,0,0,0,0,0,31,4,9,0,Morning,31,3,15.5,0,779.0666666666667,3.347628124432228
52,E,2019,2019-09-06,16,1,South West,1,Isles of Scilly,A3112,Major,A3111,A3110,91203,10217,49.912239,-6.3028477,2.0,1.24,9,1,13,0,7,0,0,0,0,0,0,0,21,4,9,0,Afternoon,21,9,10.5,0,598.2,3.347628124432228
6016,W,2019,2019-10-02,14,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,5,1522,7,554,44,19,11,18,67,95,254,2342,2,10,0,Afternoon,2342,0,234.2,0,779.0666666666667,1.1002875979463762
6016,E,2019,2019-10-02,10,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,5,1124,14,351,52,12,15,20,90,84,273,1767,2,10,0,Morning,1767,0,176.7,0,598.2,1.1002875979463762
6016,W,2019,2019-10-02,9,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,12,1352,11,336,19,10,11,10,85,43,178,1889,2,10,0,Morning,1889,0,188.9,0,779.0666666666667,1.1002875979463762
6016,E,2019,2019-10-02,7,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,9,2284,11,701,55,13,20,9,72,58,227,3232,2,10,0,Morning,3232,0,323.2,0,598.2,1.1002875979463762
6016,E,2019,2019-10-02,9,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,5,1434,14,411,47,10,10,11,86,84,248,2112,2,10,0,Morning,2112,0,211.2,0,598.2,1.1002875979463762
6016,E,2019,2019-10-02,13,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,4,1337,10,366,48,7,14,14,102,77,262,1979,2,10,0,Afternoon,1979,0,197.9,0,598.2,1.1002875979463762
6016,W,2019,2019-10-02,15,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,5,1843,11,614,61,8,7,13,67,112,268,2741,2,10,0,Afternoon,2741,0,274.1,0,779.0666666666667,1.1002875979463762
