"count_point_id","direction_of_travel","year","count_date","hour","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","hgvs_2_rigid_axle","hgvs_3_rigid_axle","hgvs_4_or_more_rigid_axle","hgvs_3_or_4_articulated_axle","hgvs_5_articulated_axle","hgvs_6_articulated_axle","all_hgvs","all_motor_vehicles"
7086,"N",2019,"2019-07-05",13,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,18,1942,7,294,75,19,16,5,21,92,228,2489
7086,"N",2019,"2019-07-05",8,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,12,1505,7,363,78,18,17,9,17,116,255,2142
7086,"S",2019,"2019-07-05",7,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,15,1896,17,381,82,18,7,8,5,111,231,2540
7086,"S",2019,"2019-07-05",16,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,25,2016,5,278,47,4,4,6,15,47,123,2447
7086,"N",2019,"2019-07-05",10,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,10,1064,4,153,33,11,8,5,11,67,135,1366
7086,"S",2019,"2019-07-05",15,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,22,1764,10,296,62,3,26,4,11,65,171,2263
7086,"N",2019,"2019-07-05",15,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,16,2391,7,336,89,7,9,10,17,81,213,2963
7086,"N",2019,"2019-07-05",18,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,15,1940,7,142,33,5,4,3,13,48,106,2210
7086,"S",2019,"2019-07-05",18,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,9,1316,6,121,22,1,0,6,7,41,77,1529
7086,"S",2019,"2019-07-05",12,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,18,1781,7,261,49,18,19,6,6,92,190,2257
7086,"N",2019,"2019-07-05",9,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,8,1371,6,280,77,6,16,10,29,98,236,1901
7086,"S",2019,"2019-07-05",13,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,18,1818,13,276,62,9,13,5,21,76,186,2311
7086,"N",2019,"2019-07-05",7,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,16,1455,2,414,71,11,32,5,24,97,240,2127
7086,"S",2019,"2019-07-05",9,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,11,1582,12,299,64,9,19,7,10,127,236,2140
7086,"N",2019,"2019-07-05",12,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,15,1854,7,322,83,16,12,3,17,87,218,2416
7086,"S",2019,"2019-07-05",17,1,"South West",181,"Swindon","A419","Major","A4312 / A420","A4259",419393,185240,51.56570500,-1.72161320,4.50,2.80,0,21,1895,5,213,30,7,3,4,9,41,94,2228
7097,"W",2019,"2019-06-05",10,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,32,18,588,39,153,5,4,0,0,0,0,9,807
7097,"E",2019,"2019-06-05",7,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,2,0,0,0,0,0,0,0,0,0,0,0,0
7097,"W",2019,"2019-06-05",8,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,176,48,1132,53,167,9,6,2,0,1,0,18,1418
7097,"W",2019,"2019-06-05",13,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,39,18,543,37,164,0,4,1,2,1,1,9,771
7097,"E",2019,"2019-06-05",18,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,24,0,0,0,0,0,0,0,0,0,0,0,0
7097,"E",2019,"2019-06-05",13,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,15,0,0,0,0,0,0,0,0,0,0,0,0
7097,"E",2019,"2019-06-05",11,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,3,0,0,0,0,0,0,0,0,0,0,0,0
7097,"W",2019,"2019-06-05",14,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,26,15,570,43,151,11,0,2,0,3,1,17,796
7097,"E",2019,"2019-06-05",8,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,4,0,0,0,0,0,0,0,0,0,0,0,0
7097,"W",2019,"2019-06-05",11,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,27,19,583,37,128,8,3,6,0,1,0,18,785
7097,"W",2019,"2019-06-05",7,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,92,45,1018,37,257,10,5,2,0,0,1,18,1375
7097,"W",2019,"2019-06-05",12,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,36,18,551,46,117,9,2,1,0,0,0,12,744
7097,"W",2019,"2019-06-05",18,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,45,19,851,33,69,1,0,0,0,1,0,2,974
7097,"E",2019,"2019-06-05",14,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,5,0,0,0,0,0,0,0,0,0,0,0,0
7097,"E",2019,"2019-06-05",17,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,34,0,0,0,0,0,0,0,0,0,0,0,0
7097,"E",2019,"2019-06-05",9,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,7,0,0,0,0,0,0,0,0,0,0,0,0
7097,"E",2019,"2019-06-05",16,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,20,0,0,0,0,0,0,0,0,0,0,0,0
7097,"E",2019,"2019-06-05",12,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,6,0,0,0,0,0,0,0,0,0,0,0,0
7097,"E",2019,"2019-06-05",15,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,23,0,0,0,0,0,0,0,0,0,0,0,0
7097,"W",2019,"2019-06-05",17,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,62,18,877,33,63,2,0,0,0,1,0,3,994
7097,"E",2019,"2019-06-05",10,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,6,0,0,0,0,0,0,0,0,0,0,0,0
7097,"W",2019,"2019-06-05",15,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,55,27,672,33,165,6,1,2,1,1,1,12,909
7097,"W",2019,"2019-06-05",9,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,96,32,897,42,182,13,8,3,2,2,0,28,1181
7097,"W",2019,"2019-06-05",16,1,"South West",144,"Bristol, City of","A420","Major","Midland Rd","Trinity Rd",359997,173312,51.45736300,-2.57714500,0.30,0.19,39,28,827,34,126,2,0,0,0,0,1,3,1018
7127,"N",2019,"2019-04-03",14,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,1,1,886,5,182,37,1,9,2,27,16,92,1166
7127,"S",2019,"2019-04-03",12,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,0,1,723,3,230,38,13,9,6,22,24,112,1069
7127,"S",2019,"2019-04-03",16,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,1,11,1358,7,245,26,3,2,4,13,25,73,1694
7127,"N",2019,"2019-04-03",7,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,2,10,1634,6,263,39,10,6,1,28,4,88,2001
7127,"S",2019,"2019-04-03",18,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,0,4,1326,9,168,4,5,0,2,22,10,43,1550
7127,"N",2019,"2019-04-03",17,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,2,7,1497,5,170,19,7,3,8,23,13,73,1752
7127,"N",2019,"2019-04-03",16,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,0,3,1330,7,264,31,5,3,6,21,18,84,1688
7127,"S",2019,"2019-04-03",13,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,0,5,705,6,162,35,8,4,4,17,18,86,964
7127,"S",2019,"2019-04-03",14,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,0,3,850,8,209,21,7,3,1,21,19,72,1142
7127,"S",2019,"2019-04-03",8,1,"South West",68,"Wiltshire","A350","Major","B4158","M4 Jn 17",391180,175600,51.47928700,-2.12839600,4.50,2.80,2,6,1337,7,268,30,13,5,5,29,18,100,1718
